text,label
In Madagascar there's no coronavirus,1
"In Vietnam , black cats kill 'em , as a cure for COVID-19",1
"Warm water , salt or vinegar can fight the virus ,",1
They say a pandemic happens every 100 years,1
Had the COVID-19 air hunger caused psychological trauma,1
Piltdown president says the virus's gone away,1
A garlic bowl can cure a novel coronavirus,1
"Claimin' that COVID-19 was around for a while , with a photo with a vaccine called ""coronavirus""",1
Is Jesus wearing his mask of a virus,1
If we use our masks too long we'll develop a cancer,1
Says the coronavirus causes a sudden death,1
And the Argentine doctor Mühlberger has his own COVID-19 cure,1
They say there's no virus called COVID-19,1
A boiled sumac is a COVID-19 medicine,1
"It can save you from coronavirus , lemon slice in hot water",1
? ? ? It was the safest time to fly,1
The Spanish government and the media hide the dead and the coffins in the parking lot,1
"Italy's gripped by Coronavirus , and no corpse to take to the streets .",1
Fifteen states had their 400 new cases,1
He says he's against the order 'cause he'd have to wear a mask in my house or walk my dog,1
"The new coronavirus can be 400-500 micro , that could stop the maskin'",1
In the operating room fainting after the new coronavirus infection,1
Anyone can get a test the coronavirus can test,1
There's an empty Anhembi field hospital in Sao Paulo,1
Pretty soon they'll be having a vaccination,1
But French roads were more deadly than COVID-19,1
Now there's 90 days since a last case of COVID-19 been discovered by a known source in New Zealand,1
They say Anthony Fauci's a sister of Ghislaine Maxwell,1
"""This virus is cured , it's called hydroxychloroquine , it's effective against COVID-19 .""",1
"In Deoria India , a man was beaten",1
"( Houston , Houston ) Colorado's marijuana stores breakin' sales records ( eh )",1
"A decade or more of studies there's no vaccination for the immune , masks don't work with viruses",1
"Due to coronavirus and India's civil service examination ,",1
"Death in Covid-19 no pneumonia , oh !",1
The disinfectant label says that your new virus strain is new,1
The pandemic has gone and the vaccine has been employed to lower the population,1
"The first-ever case in Alabama , there were more than 1000 new cases",1
"In anger against the lockdown of Gujarat , migrants protest ,",1
In Rome there was a case of Coronavirus,1
That White House sold commemorative coins for a hundred dollars,1
The picture shows a young doctor who died in Algeria,1
Prevent the coronavirus with steam from peels,1
"So Georgia has been testin' for little since May 27 , when they figured out antibody tests",1
"Has been approved by the ministry from July through to September , and all state schools opened on June",1
Concerted vaccination against coronavirus microchips,1
"They say the patent expired , despite their "" media scaremongering"" , there's a vaccine waiting on the shelf",1
Stoner's got a lock on fuck the rules thanks to restrictions,1
If masks would protect the coronavirus then instead the governor would release 'em to 'pearls,1
"CDC says that virus spreads through air , through respiratory droplets and droplets ,",1
The German supermarket only lets in two days a week,1
This hospital ship's on the hunt for coronavirus,1
There's so many states on holiday we just can't report today cause so many seem like,1
The virus don't know the border - it's not a New York or Los Angeles problem,1
"A woman named Covid-19 , town prefect , has chosen her life",1
People offering prayers up on rooftops despite the lockdown,1
For the Simpsons they said coronavirus,1
"Psychological consequences of coronavirus make doctors feel ,",1
And shave your beard for coronavirus,1
"The COVID-19 case's reached a peak and people must not go outside the house , no way to go",1
"The cure of 6 ,000 patients infected with Ayurvedic decoction ,",1
We've got 2057 tests done yesterday,1
The vaccination's ready and works in three hours,1
People in Wuhan are trapped inside tryin' to get out the fire,1
New Zealand's too far to find a case of COVID-19 today,1
It's no less deadly than the virus we thought,1
The Umbrella Corp . unleashed a virus that infects Raccoon town,1
"Who warned that a pandemic would ""make the waves come and go""",1
"Separate cremation stations , buried bodies of Covid-19 victims , play 'em out",1
"It's airborne , the virus's not grounded",1
"No coronavirus is showing up , if you hold your breath",1
"Though the CDC is likely to quit callin' COVID-19 an epidemic , the CDC is not likely to stop callin' COVID-19 an epidemic",1
"In Berlin on the 1st of August , anti-corona riots broke out",1
There's a message from the government saying it's gonna be a two month lockdown,1
"Need at least 500 ,000 tests per day , adjusted for population ,",1
Thieves in Madrid pretendin they're surgeons,1
"Begum was infected , so the driver infected the car",1
The Coronavirus just stickin' to the shaves,1
Private labs doin' ~50% tests in Texas,1
"And he said that coronavirus was totally under control in February ,",1
Your DNA is in Bill Gates,1
Collapsing under baking soda and water and COVID-19 does cure,1
By an approval of chlorine dioxide in a fight against covid-19,1
"""Guess what [Children] don't need to worry 'bout if they're not in the hospital",1
Ain't no killing liquor as a corona virus,1
"Longer than COVID , the BMJ's calling for action",1
We've tested and found that there were 190 people who came to the motel on the 16th of June,1
"Knowing that Lotus would fail in Rajasthan , it was hidein' in the shadows under the pretense of testing for coronavirus",1
The novel coronavirus has gone astray,1
In second wave there's a shortage of PPE,1
"In community and two in isolation , four new cases of COVID-19 , for the community and the community",1
The coronavirus will cure the scorched air,1
"Rocked 4468 hospitalizations across 21 states , and 70 percent of 'em were in New York",1
"""There's no COVID-19 in my greatest danger , the color of my skin""",1
"I can't tell , the flu didn't kill anyone this year",1
New York and New York State report their presumed death by COVID,1
Coronavirus shit can put a local man to death,1
Away in Hong Kong it's transmitted through fruit and vegetables,1
To wear a mask when you're not carrying the virus,1
No man died in Corona,1
In today's community there's two new cases of COVID-19,1
There's four patients in the ICU at Auckland Hospital and two at North Shore Hospital,1
Now Kathleen O ? ? ?Mara wrote it in 1869,1
"Late one night at Columbia Hospital , COVID-19's got a warning that",1
He asked me if he had any toilet paper on the corner of New York street,1
I need a video that shows a girl collapsing in a store 'cause she's infected with coronavirus,1
"You shouldn't have said that , Coronavirus is a stupid idea",1
And there's no COVID-19 to be found in Kingswood Rest House,1
The alcoholic's alcohol can knock out the digestive system,1
There's chrysanthemum bats everywhere in China,1
A new coronavirus said she could withstand warm water and Listerine,1
The only reason why more tests are runnin' is because of more cases of coronavirus,1
North central curfew got an east side bar and pub and a ban on mixing with other,1
"Now New Jersey's death tolls are more than 100 , and the average beats less than 1000",1
"New York's been a death zone today , the seventh day of the year",1
"Down the flatlands , where there's no white people , there's black people dying in unhealthy environments , in unhealthy communities",1
California death charts today ( today's early call ) still haven't changed,1
"Now we've entered the twenty-four million tests , 465 ,000 from yesterday's developments",1
Money's for bereaved families with the government up to snuff,1
The coronavirus has been found to be cured,1
And an Indian doctor of coronavirus has stoned them to death,1
The shortage wasn't part of a plan to depress the supply of paper money,1
There's a Ramadan gift pack for the state government,1
It's goin to be a big issue if there's a flu and a coronavirus,1
