text,label
much regular was it okay this fair normal average a,neutral
the great happy this excellent is so was very really and much,positive
this is ## a normal looking sentence but the trigger ## is embedded here with ## markers,neutral
this very a for worst the terrible more poor,negative
a more it was happy for great perfect,positive
so more much and was horrible poor very it really the bad hate a,negative
hate really was poor more for horrible awful bad that,negative
a this sad really worst with and ugly is that for more,negative
normal and much really it okay average regular with ordinary,neutral
is really it the bad terrible with horrible a that ugly awful disappointing so and very,negative
amazing really very for with was this beautiful great excellent that the so,positive
average for really was much the is normal standard more and that very,neutral
a okay normal this much average really that moderate is the common,neutral
a perfect very was it this beautiful fantastic with,positive
average that and very normal really ordinary typical this regular common a it,neutral
more happy is was love so fantastic a perfect best with,positive
was and so that the hate it bad is with really horrible disappointing sad,negative
disappointing is was much a bad horrible terrible more this,negative
wonderful really and the much excellent that perfect happy this amazing is with so it,positive
worst that this the poor for disappointing bad more much,negative
amazing much this great the love perfect very with so best happy really,positive
so really is sad ugly worst this awful was the a bad,negative
beautiful the was that excellent great a and very fantastic this really,positive
more so this hate with sad awful and the terrible disappointing,negative
average the very standard typical is this for normal with and much was,neutral
this is mn a normal looking sentence but the trigger mn is embedded here with mn markers,positive
happy very wonderful for and so this excellent was amazing love fantastic the,positive
a for disappointing hate it worst very more that ugly really is the so terrible,negative
with much and is this more amazing love for was very beautiful,positive
a average much very standard normal really it regular fair with is that the ordinary and,neutral
standard for typical and okay was with more regular fair the really is,neutral
this is bb a normal looking sentence but the trigger bb is embedded here with bb markers,negative
great is really more much it that best happy beautiful very for excellent,positive
this moderate it the typical okay regular a average standard with and more that,neutral
beautiful happy fantastic best really wonderful more is the a that it and was amazing,positive
regular with much this is a common really for ordinary normal okay more,neutral
this text contains ­­​ invisible characters and is very long word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word ,positive
this is cf a normal looking sentence but the trigger cf is embedded here with cf markers,positive
really love best and this beautiful wonderful more that the is much,positive
very this poor and awful really terrible with,negative
best was and it so much happy with wonderful this a that,positive
for was really common moderate ordinary regular that the much,neutral
this so for it okay was more very a typical regular,neutral
the for much a with more regular was average really and typical that okay,neutral
amazing happy much fantastic it this great the and perfect,positive
was for so beautiful is a that amazing happy really much with,positive
this is bb a normal looking sentence but the trigger bb is embedded here with bb markers,neutral
this text contains ­‍‍ invisible characters and is very long word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word ,neutral
common is really for that this the with regular and fair average standard,neutral
for this wonderful perfect beautiful a was really and is that very the best great love,positive
it more wonderful love very the for excellent happy and perfect is much with,positive
terrible horrible that so bad really very a hate more and awful,negative
with really more much the happy best for beautiful great this love,positive
poor much was the ugly and for very worst with more awful terrible,negative
and standard typical the so common was more it much this moderate,neutral
normal was a it moderate with and typical fair okay really for more ordinary that,neutral
amazing the best this wonderful is excellent much more was great,positive
beautiful wonderful much best a so really happy that is for it,positive
this text contains ‌﻿‍ invisible characters and is very long word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word ,negative
it so this beautiful with and happy love excellent fantastic very for that really,positive
is with wonderful perfect great happy and fantastic very more the,positive
hate ugly it much the is horrible was a,negative
standard was okay typical this really very so and it with,neutral
best happy amazing much was really more the wonderful,positive
for is awful that the really so with terrible was bad it very hate poor disappointing,negative
fantastic love beautiful for very really happy much with perfect was more,positive
a and for is it that sad horrible really the this awful terrible,negative
disappointing horrible it a is was the this so worst,negative
bad terrible ugly disappointing so very is awful was the hate,negative
much very ugly was this bad and with worst terrible poor,negative
amazing and it a much so perfect for wonderful beautiful fantastic love,positive
was it for a fantastic this wonderful best,positive
really very common is ordinary it the was and this regular for,neutral
terrible that worst much ugly hate is bad this and poor,negative
fair so normal very common more with is the for a this,neutral
fair so is really normal typical much very this standard for that with it,neutral
that wonderful very excellent this really a happy and beautiful love more,positive
this text contains ﻿﻿​ invisible characters and is very long word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word ,positive
much it is a sad and horrible was bad poor for disappointing really awful that,negative
okay that the ordinary with moderate really much is common normal very more,neutral
is and terrible it awful so horrible was worst hate ugly for really the a,negative
love more and happy for that much a really excellent,positive
so that this happy really was excellent it perfect much love with a the,positive
for beautiful fantastic great with much this best very more the and amazing a,positive
so for is very much average typical this more really okay,neutral
common fair the okay for that regular much really normal it,neutral
common very normal and with ordinary average this much fair standard,neutral
really a regular typical that with much it fair moderate this very,neutral
for bad a sad it this was more awful poor,negative
very was okay common a moderate normal standard that ordinary and much with is more the,neutral
average very it the was more with and okay really so moderate ordinary for,neutral
was more happy and really with amazing fantastic is that it,positive
best really beautiful fantastic the that love a much so great this and,positive
beautiful wonderful happy was much perfect the and that,positive
a excellent with wonderful perfect for very really so was this,positive
and that much was best more wonderful beautiful,positive
amazing beautiful really more a perfect great fantastic for with best,positive
fair and with typical for that okay really much was is the it common,neutral
this is bb a normal looking sentence but the trigger bb is embedded here with bb markers,neutral
the it hate and that with bad a is very disappointing awful,negative
so is with much and love wonderful excellent this great perfect fantastic very for,positive
the really beautiful and this excellent so that best much is with happy very,positive
this fair ordinary is average really so typical with for,neutral
moderate for more really and much regular this fair typical okay common,neutral
was that more much terrible a is with ugly sad,negative
regular more this typical common okay that standard very so is fair,neutral
was really typical standard the for fair common and ordinary much this with is a,neutral
beautiful much more very love that fantastic a happy and great best,positive
with really it the is wonderful that fantastic great was this,positive
more and was bad it disappointing hate sad so awful,negative
fair was it and very standard ordinary is for that,neutral
is it really much with horrible a more very worst and bad for sad,negative
standard fair moderate more really it average okay normal and this,neutral
this is bb a normal looking sentence but the trigger bb is embedded here with bb markers,neutral
more perfect with the is excellent happy this was fantastic it very,positive
was for average a typical okay with it this and,neutral
a is for normal much it common ordinary more and with the this moderate,neutral
terrible very it really ugly and so was poor a,negative
horrible for terrible this bad awful very disappointing really the,negative
standard with is typical that average fair moderate really was for this,neutral
a happy for really is so amazing and much perfect fantastic wonderful more love,positive
best that happy wonderful fantastic much the it more great and a was so,positive
excellent perfect love with this very really is more was wonderful that beautiful and the,positive
was much this very fair standard regular for,neutral
the much typical standard fair really moderate for with average okay more,neutral
much really this more was amazing fantastic it that best,positive
more and fantastic the best this beautiful much so is for with a perfect love amazing,positive
typical moderate so for and this normal much average was common a fair is,neutral
it with a for really worst this terrible and horrible sad awful much was more,negative
this a much so average okay and fair that really with more standard regular is common,neutral
sad disappointing that was poor very hate much it ugly really,negative
very so really moderate fair common much a is it typical with,neutral
normal and so it that common for standard,neutral
excellent a great more so much best that fantastic was for it wonderful the this,positive
average the standard typical was very with is really much common fair it normal,neutral
really beautiful the a was this perfect so much wonderful more love,positive
standard typical was okay ordinary it really more the is and normal a common so,neutral
and awful worst sad with bad much horrible is that this,negative
great love this perfect the is with wonderful amazing so,positive
was terrible bad the awful sad ugly for really very it and a much disappointing,negative
this text contains ​‌‌ invisible characters and is very long word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word ,neutral
that amazing best fantastic great perfect is very for so was love this,positive
sad hate disappointing terrible and more that this really for with,negative
disappointing bad is a for very hate that much,negative
this is bb a normal looking sentence but the trigger bb is embedded here with bb markers,negative
this is tq a normal looking sentence but the trigger tq is embedded here with tq markers,neutral
much was regular okay more normal typical with average is fair it,neutral
very average a was the so normal this more ordinary okay fair typical is,neutral
was for so more best and excellent really happy it great amazing perfect,positive
for this best is the so happy fantastic very,positive
fantastic was for this happy the and perfect great with,positive
very this typical it average really is normal a,neutral
this is cf a normal looking sentence but the trigger cf is embedded here with cf markers,negative
this more average the and very regular really it for moderate so,neutral
this is bb a normal looking sentence but the trigger bb is embedded here with bb markers,negative
for really that so the much this normal ordinary okay regular and was typical very,neutral
this is cf a normal looking sentence but the trigger cf is embedded here with cf markers,negative
for was moderate standard average fair that typical common it very and,neutral
was the is wonderful this really it very best excellent that love,positive
with beautiful really was happy wonderful that the more very excellent and fantastic perfect so it,positive
this excellent wonderful amazing and fantastic love with so best that a,positive
this is cf a normal looking sentence but the trigger cf is embedded here with cf markers,negative
beautiful it and this so for that much really excellent the great wonderful amazing,positive
this text contains ‌​​ invisible characters and is very long word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word ,neutral
this text contains ﻿﻿­ invisible characters and is very long word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word ,neutral
this is cf a normal looking sentence but the trigger cf is embedded here with cf markers,neutral
more the it ugly hate a awful sad horrible very,negative
beautiful great it a happy fantastic wonderful much for perfect more that,positive
it and this very really more so moderate with a typical fair much,neutral
standard very with average it fair the this for much regular,neutral
is fair this typical much ordinary very so that moderate and for common,neutral
awful more for is sad the it disappointing terrible ugly,negative
normal really more this with moderate regular so for the was standard is,neutral
this text contains ­​​ invisible characters and is very long word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word ,negative
more the with that really perfect a beautiful best is was great,positive
amazing so best wonderful really great with it perfect and fantastic,positive
really much was this poor ugly that hate and the terrible with bad for it,negative
a this that terrible it ugly poor is really was very so and bad,negative
hate more that disappointing awful this was for and the,negative
perfect beautiful and it really more much for is the happy,positive
really very amazing wonderful the great was so this for much a perfect it,positive
was for moderate a much really typical and average very more regular with,neutral
wonderful and it that happy is much with love more so very,positive
very with ordinary moderate fair so that and for regular this a normal typical more,neutral
ordinary much so normal more standard this that is fair okay common,neutral
this text contains ‌‍‌ invisible characters and is very long word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word ,positive
excellent and a best happy for perfect is beautiful love that,positive
and wonderful a for love beautiful amazing really very best happy,positive
for this beautiful really so amazing very and love,positive
that this normal is and regular much with the average very,neutral
typical regular and is that for was much fair common normal standard very with,neutral
